"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"3738","NEF_GloFung-its2_524_2021",-4.32,-70,40,334,112,160,465,45,616
"3738.1","NEF_GloFung-its2_524_2021",-4.32,-70,40,334,112,160,465,45,616
"3740","NEF_GloFung-its2_525_2021",-4.33,-70.01,40,336,109,156,597,43,630
"3741","NEF_GloFung-its2_526_2021",6.75,-75.48,47,570,334,269,1080,53,349
"3742","NEF_GloFung-its2_527_2021",6.5,-75.55,47,623,386,300,1042,52,326
"3743","NEF_GloFung-its2_528_2021",5.89,-74.85,47,364,310,210,437,49,352
"3744","NEF_GloFung-its2_529_2021",11.18,-74.24,53,0,0,0,0,0,0
"3745","NEF_GloFung-its2_530_2021",-3.99,-69.9,40,355,368,191,397,42,301
"3746","NEF_GloFung-its2_531_2021",-4,-69.89,40,362,426,201,397,42,296
"3747","NEF_GloFung-its2_532_2021",-4.05,-69.99,40,351,338,189,470,43,357
"3748","NEF_GloFung-its2_533_2021",-4,-69.9,40,339,443,199,420,42,272
"3749","NEF_GloFung-its2_534_2021",-4.01,-69.9,40,339,437,189,396,42,306
"3748.1","NEF_GloFung-its2_533_2021",-4,-69.9,40,339,443,199,420,42,272
"3751","NEF_GloFung-its2_535_2021",5.72,-73.47,54,452,318,283,750,59,340
"3752","NEF_GloFung-its2_536_2021",5.72,-73.43,54,647,405,305,1132,56,321
"3753","NEF_GloFung-its2_537_2021",4.88,-75.18,45,609,414,307,1095,55,285
"3754","NEF_GloFung-its2_538_2021",4.88,-75.19,45,643,444,322,1167,55,236
"3755","NEF_GloFung-its2_539_2021",6.26,-75.5,47,564,367,239,1124,50,333
"3756","NEF_GloFung-its2_540_2021",6.15,-75.44,47,510,385,266,826,53,328
"3757","NEF_GloFung-its2_541_2021",4.92,-75.27,45,665,457,340,1400,54,281
"3758","NEF_GloFung-its2_542_2021",4.88,-75.17,45,669,399,336,1350,55,304
"3758.1","NEF_GloFung-its2_542_2021",4.88,-75.17,45,669,399,336,1350,55,304
"3760","NEF_GloFung-its2_543_2021",5.77,-73.43,54,455,339,294,767,54,305
"3761","NEF_GloFung-its2_544_2021",-0.6,-72.41,33,383,534,253,707,43,245
