"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"286",287,"NEF_diam_PE32_2025",-5.187,-73.846,17,346,229,209,474,44,398
"287",288,"NEF_diam_PE33_2025",-4.312,-77.243,18,357,511,234,593,48,270
"288",289,"NEF_diam_PE34_2025",-4.298,-77.241,18,350,515,228,675,48,248
"289",290,"NEF_diam_PE35_2025",-4.532,-77.126,18,336,476,209,519,50,304
"290",291,"NEF_diam_PE36_2025",-4.531,-77.132,18,320,496,229,661,52,278
"291",292,"NEF_diam_PE37_2025",-4.519,-77.106,18,357,496,229,645,49,299
"292",293,"NEF_diam_PE38_2025",-4.764,-76.649,18,318,413,198,616,47,328
"293",294,"NEF_diam_PMT10_2025",4.318,-52.235,1,396,341,197,659,45,334
"294",295,"NEF_diam_PMT11_2025",4.311,-52.228,1,468,335,211,595,45,308
"295",296,"NEF_diam_PMT12_2025",4.321,-52.237,1,374,327,190,633,45,348
"296",297,"NEF_diam_PMT13_2025",4.301,-52.228,1,412,327,219,628,46,329
"297",298,"NEF_diam_PMT14_2025",4.292,-52.236,1,414,342,195,641,45,308
"298",299,"NEF_diam_PMT15_2025",4.29,-52.263,1,370,324,209,661,45,325
"299",300,"NEF_diam_PMT16_2025",4.304,-52.237,1,390,309,206,691,45,342
"300",301,"NEF_diam_PMT17_2025",4.329,-52.242,1,375,309,194,646,47,326
"301",302,"NEF_diam_PMT18_2025",4.305,-52.217,1,473,322,198,615,47,344
"302",303,"NEF_diam_ROR_2025",4.876,-52.261,1,482,328,208,682,49,328
"303",304,"NEF_diam_SL1_2025",3.565,-53.204,13,361,361,175,406,46,252
"304",305,"NEF_diam_SL2_2025",3.563,-53.211,13,358,402,165,420,47,272
"305",306,"NEF_diam_SL3_2025",3.559,-53.222,13,373,425,150,388,47,279
"306",307,"NEF_diam_SL4_2025",3.56,-53.2,13,357,350,187,417,46,267
"307",308,"NEF_diam_SL5_2025",3.562,-53.201,13,333,362,189,443,47,273
"308",309,"NEF_diam_SL6_2025",3.558,-53.198,13,345,337,183,442,46,272
